SCENARIO ID,DATE,EVENT TYPE,PROCESS AREA,LOSS AMOUNT(USD),FREQUENCY,SEVERITY,OPVAR(%),ML,GDP (%),VIX,TARGET
ALE-0302,12/5/2022,Cyber-Fraud,ATM Network,169.84,4,1.15,1.49,1.6,3,22,0
ALE-1159,9/9/2022,Phishing,E-Banking,86.18,3,1.41,1.86,1.41,2.5,28,2
ALE-0121,11/6/2022,Cyber-Fraud,Online Services,46.53,3,2.68,2.35,1.84,3.1,27,0
OLE-0760,18/11/2023,Cyber-Fraud,Retail Banking,85.32,5,0.42,1.04,1,2.6,22,2
ALE-0017,12/12/2022,Data Breach,E-Banking,111.74,4,1.14,3.18,3.22,3.4,25,0
OLE-0110,14/12/2022,Tech Failure,Payments,77.12,4,0.73,1.48,1,3.7,14,2
ALE-0320,30/1/2022,Phishing,ATM Network,144.96,4,1.08,2.15,2.65,3.8,29,1
OLE-0260,25/5/2023,Cyber-Fraud,ATM Network,41.98,2,1.15,0.92,1,3,20,2
ALE-0840,14/6/2022,System Failure,Retail Banking,171.13,2,2.73,3.08,2.5,4,23,2
OLE-0480,23/8/2022,Tech Failure,E-Banking,23.7,1,1.45,1.39,1,3.5,21,1
ALE-0250,1/10/2022,Tech Failure,Payments,199.57,1,0.87,1.79,1.25,3.7,22,0
OLE-0837,8/7/2022,Cyber-Fraud,Payments,95.33,4,0.63,0.9,1,3.7,15,1
ALE-1149,18/12/2022,System Failure,Online Services,104.39,5,2.58,1.8,1.32,2.9,17,1
OLE-0071,29/4/2022,Tech Failure,ATM Network,50.89,1,0.65,1.27,1,3.4,15,2
OLE-0232,30/11/2023,Tech Failure,E-Banking,32.07,5,0.34,0.68,1,3.8,22,0
OLE-0291,12/11/2023,Cyber-Fraud,Payments,34.75,3,0.7,1.25,1,3.4,24,0
ALE-0335,16/10/2022,Phishing,Online Services,192.93,5,1.67,2.14,1.79,2.8,21,0
OLE-0619,16/9/2023,Cyber-Fraud,Retail Banking,57.33,5,0.92,1.49,1,3.4,14,1
OLE-0298,12/3/2022,Tech Failure,Retail Banking,102.76,1,0.94,1.01,1,3.7,22,0
ALE-0880,30/10/2022,System Failure,Online Services,104.03,1,1.32,2.42,2.75,3.3,24,1
ALE-0227,12/10/2022,Tech Failure,Retail Banking,46.37,4,2.93,3.41,3.25,2.6,29,1
OLE-0411,7/12/2022,Tech Failure,Payments,44.84,4,0.79,0.63,1,2.8,19,1
ALE-0826,14/4/2022,System Failure,Payments,81.88,4,1.67,1.97,1.9,2.8,28,2
OLE-0586,5/4/2023,Tech Failure,Payments,58.38,4,1.11,0.8,1,2.8,18,1
ALE-0321,3/6/2022,System Failure,Payments,120.28,4,1.22,1.82,1.55,3.7,26,2
ALE-0179,11/9/2022,Data Breach,ATM Network,126.81,5,1.44,2.53,2.99,2.8,17,0
