SCENARIO ID,DATE,EVENT TYPE,PROCESS AREA,LOSS AMOUNT(USD),FREQUENCY,SEVERITY,OPVAR(%),ML,GDP (%),VIX,TARGET,MONTH,QUARTER,YEAR,DAY_OF_WEEK,LOSS_PER_FREQ,SEV_OPVAR_RATIO,RISK_COMPOSITE,GDP_VIX_RATIO,EVENT_ENC,PROCESS_ENC,SCENARIO_PREFIX,SCENARIO_ENC,ANOMALY_ISO,ANOMALY_SCORE,ZSCORE_LOSS,ANOMALY_Z,ANOMALY_COMBINED,PREDICTED_LOSS,PREDICTED_TARGET,PROB_HIGH_RISK,RISK_SCORE,ALERT_TIER
ALE-0302,2016-02-27,Cyber-Fraud,ATM Network,169.84,4,1.15,1.49,1.6,3.0,22,0.0,2,1,2016,5,42.459999989385,0.771812080018918,6.853999999999999,0.136363636357438,0,0,ALE,0,0,-0.08946777149068452,0.7623525402003024,0,0,162.53031914757338,0,0.008239252969321905,28.469995137511383,LOW
ALE-1159,2018-02-17,Phishing,E-Banking,86.18,3,1.41,1.86,1.41,2.5,28,,2,1,2018,5,28.726666657091112,0.7580645157214706,7.8678,0.0892857142825255,2,1,ALE,0,0,-0.049626694206115984,0.33221250035899724,0,0,93.15182556112862,0,0.20618375907892234,30.226202241286664,MEDIUM
ALE-0121,2016-08-25,Cyber-Fraud,Online Services,46.53,3,2.68,2.35,1.84,3.1,27,0.0,8,3,2016,3,15.50999999483,1.1404255314296061,18.894000000000002,0.11481481481056242,0,2,ALE,0,0,-0.06984925650325347,0.8509730054770493,0,0,58.745138141502565,0,0.006348884753217793,14.747479273574642,LOW
OLE-0760,2025-04-16,Cyber-Fraud,Retail Banking,85.32,5,0.42,1.04,1.0,2.6,22,,4,2,2025,2,17.0639999965872,0.4038461534578402,2.184,0.11818181817644628,0,4,OLE,1,0,-0.05270169881820452,0.34346430450531584,0,0,64.99086706955966,0,0.0030196089842006463,18.166492661735727,LOW
ALE-0017,2019-09-05,Data Breach,E-Banking,111.74,4,1.14,3.18,3.22,3.4,25,0.0,9,3,2019,3,27.93499999301625,0.3584905659250029,14.5008,0.13599999999456,1,1,ALE,0,0,-0.08453399289935981,0.002201585664140293,0,0,110.03280491240267,0,0.0036120842615889465,20.661466582371453,LOW
OLE-0110,2019-09-17,Tech Failure,Payments,77.12,4,0.73,1.48,1.0,3.7,14,,9,3,2019,1,19.279999995180003,0.49324324290997074,4.3216,0.2642857142668367,4,3,OLE,1,0,-0.03440489271601299,0.45074894869114235,0,0,73.96251200884272,0,0.14945058021117133,27.432251871942082,LOW
ALE-0320,2014-06-24,Phishing,ATM Network,144.96,4,1.08,2.15,2.65,3.8,29,,6,2,2014,1,36.23999999094,0.5023255811617091,9.288,0.13103448275410226,2,0,ALE,0,0,-0.051437189225246094,0.4368352295486723,0,0,144.41699285468542,0,0.02100969398005428,31.657480162028396,MEDIUM
OLE-0260,2022-05-18,Cyber-Fraud,ATM Network,41.98,2,1.15,0.92,1.0,3.0,20,,5,2,2022,2,20.989999989504998,1.2499999986413042,2.116,0.1499999999925,0,0,OLE,1,0,-0.09213431709084685,0.9105028995069897,0,0,56.012607976167466,0,0.007102458373303819,11.038252419040784,LOW
ALE-0840,2016-09-12,System Failure,Retail Banking,171.13,2,2.73,3.08,2.5,4.0,23,,9,3,2016,0,85.5649999572175,0.8863636360758559,16.8168,0.17391304347069944,3,4,ALE,0,0,-0.0207377674525564,0.7792302464197799,0,0,194.39421758624363,0,0.11447769928051571,47.44919353245605,MEDIUM
OLE-0480,2017-11-07,Tech Failure,E-Banking,23.7,1,1.45,1.39,1.0,3.5,21,,11,4,2017,1,23.6999999763,1.0431654668754204,2.0155,0.16666666665873014,4,1,OLE,1,0,-0.08506564724615451,1.149669155082223,0,0,47.69721603792076,0,0.0012257639469738669,10.552273410448864,LOW
ALE-0250,2018-06-30,Tech Failure,Payments,199.57,1,0.87,1.79,1.25,3.7,22,0.0,6,2,2018,5,199.56999980042997,0.4860335192815455,1.5573000000000001,0.16818181817417355,4,3,ALE,0,0,-0.020161227380924185,1.1513247928398909,0,0,197.53413538526505,0,0.1648232490921534,49.79769133721763,MEDIUM
